source_file,output_file,original_duration_sec,output_duration_sec,cropped,crop_start_sec,crop_end_sec,strategy
Золотая Долина 33.m4a,stop_001.wav,0.853,0.853,no,0.000,0.853,format_only
Золотая Долина 18.m4a,stop_002.wav,1.195,1.000,yes,0.000,1.000,speech_span
"Золотая Долина, Ресторан 17.m4a",stop_003.wav,1.365,1.000,yes,0.120,1.120,energy_window
Золотая Долина 8.m4a,stop_004.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 96.m4a,stop_005.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 58.m4a,stop_006.wav,1.109,1.000,yes,0.000,1.000,speech_span
Золотая Долина 32.m4a,stop_007.wav,0.683,0.683,no,0.000,0.683,format_only
тропинка Ю. А. Дядина 3.m4a,stop_008.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 137.m4a,stop_009.wav,0.683,0.683,no,0.000,0.683,format_only
"Золотая Долина, Ресторан 20.m4a",stop_010.wav,1.451,1.000,yes,0.030,1.030,energy_window
"RED RABBIT, бар 13.m4a",stop_011.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 27.m4a,stop_012.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 47.m4a,stop_013.wav,0.853,0.853,no,0.000,0.853,format_only
"RED RABBIT, бар 24.m4a",stop_014.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 19.m4a,stop_015.wav,2.987,1.000,yes,1.020,2.020,speech_span
Новосибирский государственный университет 138.m4a,stop_016.wav,1.109,1.000,yes,0.030,1.030,speech_span
"RED RABBIT, бар 15.m4a",stop_017.wav,0.597,0.597,no,0.000,0.597,format_only
"RED RABBIT, бар 7.m4a",stop_018.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 53.m4a,stop_019.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 142.m4a,stop_020.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 130.m4a,stop_021.wav,1.280,1.000,yes,0.085,1.085,speech_span
Новосибирский государственный университет 120.m4a,stop_022.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 79.m4a,stop_023.wav,0.768,0.768,no,0.000,0.768,format_only
Золотая Долина 23.m4a,stop_024.wav,1.280,1.000,yes,0.280,1.280,energy_window
Новосибирский государственный университет 59.m4a,stop_025.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 56.m4a,stop_026.wav,1.024,1.000,yes,0.024,1.024,speech_span
"RED RABBIT, бар 12.m4a",stop_027.wav,0.341,0.341,no,0.000,0.341,format_only
Новосибирский государственный университет 44.m4a,stop_028.wav,1.536,1.000,yes,0.360,1.360,speech_span
Новосибирский государственный университет 104.m4a,stop_029.wav,0.768,0.768,no,0.000,0.768,format_only
Золотая Долина 35.m4a,stop_030.wav,0.939,0.939,no,0.000,0.939,format_only
тропинка Ю. А. Дядина 2.m4a,stop_031.wav,0.853,0.853,no,0.000,0.853,format_only
"RED RABBIT, бар 26.m4a",stop_032.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 22.m4a,stop_033.wav,0.939,0.939,no,0.000,0.939,format_only
Золотая Долина 30.m4a,stop_034.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 133.m4a,stop_035.wav,1.195,1.000,yes,0.195,1.195,speech_span
Новосибирский государственный университет 123.m4a,stop_036.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 72.m4a,stop_037.wav,0.853,0.853,no,0.000,0.853,format_only
"Золотая Долина, Ресторан 9.m4a",stop_038.wav,1.963,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 4.m4a,stop_039.wav,1.109,1.000,yes,0.000,1.000,speech_span
